algorithm,input,n,time_ms,comparisons,max_depth
mergesort,random,1000,0.209400,9524,8
quicksort,random,1000,0.255200,17921,7
quickselect,random,1000,0.047900,5625,1
mergesort,random,10000,1.156600,126879,11
quicksort,random,10000,0.593600,243024,9
quickselect,random,10000,0.096300,34760,1
mergesort,random,100000,6.857200,1639948,14
quicksort,random,100000,8.392400,3084512,10
quickselect,random,100000,0.849300,484813,1
mergesort,random,1000000,84.561600,19885652,18
quicksort,random,1000000,83.431400,40182732,12
quickselect,random,1000000,8.897000,5690907,1
mergesort,sorted,1000,0.011200,4236,8
quicksort,sorted,1000,0.033200,17718,6
quickselect,sorted,1000,0.004800,4578,1
mergesort,sorted,10000,0.149900,59248,11
quicksort,sorted,10000,0.386700,251635,8
quickselect,sorted,10000,0.034400,45053,1
mergesort,sorted,100000,1.869700,744016,14
quicksort,sorted,100000,4.519500,3069596,11
quickselect,sorted,100000,0.318100,357132,1
mergesort,sorted,1000000,22.185100,9071040,18
quicksort,sorted,1000000,54.421500,39675383,13
quickselect,sorted,1000000,3.497700,5051862,1
mergesort,duplicates,1000,0.015700,9130,8
quicksort,duplicates,1000,0.012000,5166,3
quickselect,duplicates,1000,0.008000,5316,1
mergesort,duplicates,10000,0.305900,121693,11
quicksort,duplicates,10000,0.105100,56246,2
quickselect,duplicates,10000,0.046100,34977,1
mergesort,duplicates,100000,3.518500,1561728,14
quicksort,duplicates,100000,1.112200,680092,2
quickselect,duplicates,100000,0.716200,479960,1
mergesort,duplicates,1000000,40.593900,18923043,18
quicksort,duplicates,1000000,9.621500,5598512,3
quickselect,duplicates,1000000,6.127600,2400965,1
